Date,Close,High,Low,Open,Volume
2020-01-02,45.14126968383789,45.50246437491872,44.95246002305199,45.412164919277664,11867700
2020-01-03,44.89499282836914,45.141265185205114,44.40245437766339,44.59126088815003,11354500
2020-01-06,44.878570556640625,45.07558779866611,44.75543752042216,44.862155323664425,14698300
2020-01-07,44.53379821777344,44.82111179239164,44.451709519734834,44.697978745333735,9973900
2020-01-08,44.615882873535156,44.85394446035464,44.451705492332714,44.550212547350746,10676000
2020-01-09,45.428592681884766,45.47784779464363,45.01814280334641,45.14948663921932,15398000
2020-01-10,45.58456039428711,45.91292153448278,45.51889004513832,45.543516034633626,13040100
2020-01-13,46.077083587646484,46.15917227396458,45.49424264145046,45.58454207528996,14302900
2020-01-14,45.97037887573242,46.20844051789494,45.83082744297177,46.16739616305261,16345300
2020-01-15,46.54500198364258,46.77485284012279,45.97037171095898,45.97037171095898,17735400
2020-01-16,46.64351272583008,46.75023054539312,46.47112456987053,46.66813871054336,10234100
2020-01-17,46.74202346801758,46.91441476900275,46.62709802168317,46.68456074485037,14264300
2020-01-21,46.93082046508789,46.9964939247758,46.43828204336026,46.6681328893021,11968900
2020-01-22,47.29201889038086,47.316644872366034,46.93903186833961,46.99649458062698,12869600
2020-01-23,47.472618103027344,47.48903333680872,46.98828728791933,47.10321271328682,12858900
2020-01-24,47.3494873046875,47.50545709518103,47.1688883977599,47.48903872805276,8594300
2020-01-27,47.185298919677734,47.489030832342685,46.89798537141126,46.96365569752239,14359900
2020-01-28,46.79948043823242,47.40694746323293,46.76664683723271,47.16067823257771,15240200
2020-01-29,46.79948043823242,47.00470531902563,46.51216685771519,46.79127282085329,13163600
2020-01-30,48.318145751953125,48.41665281652605,47.41515441033801,47.55470895567586,20225600
2020-01-31,47.94053649902344,48.49874846131561,47.735311604989064,48.40844900690314,17685200
2020-02-03,48.08829116821289,48.408441451904025,48.03903607399776,48.227842571264766,12333600
2020-02-04,48.30172348022461,48.802472642827624,48.12112460020835,48.22784240489822,15417900
2020-02-05,48.3099365234375,48.498746172744895,48.05545967099255,48.35098400549411,11414900
