Date,Close,High,Low,Open,Volume,MA20,MA50,MA200,DailyReturn,CumReturn,BB_Upper,BB_Lower,RSI14
2020-01-02,45.14126968383789,45.50246437491872,44.95246002305199,45.412164919277664,11867700,,,,,,,,
2020-01-03,44.89499282836914,45.141265185205114,44.40245437766339,44.59126088815003,11354500,,,,-0.005456,0.994544,,,
2020-01-06,44.878570556640625,45.07558779866611,44.75543752042216,44.862155323664425,14698300,,,,-0.000366,0.99418,,,
2020-01-07,44.53379821777344,44.82111179239164,44.451709519734834,44.697978745333735,9973900,,,,-0.007682,0.986543,,,
2020-01-08,44.615882873535156,44.85394446035464,44.451705492332714,44.550212547350746,10676000,,,,0.001843,0.988361,,,
2020-01-09,45.428592681884766,45.47784779464363,45.01814280334641,45.14948663921932,15398000,,,,0.018216,1.006365,,,
2020-01-10,45.58456039428711,45.91292153448278,45.51889004513832,45.543516034633626,13040100,,,,0.003433,1.00982,,,
2020-01-13,46.077083587646484,46.15917227396458,45.49424264145046,45.58454207528996,14302900,,,,0.010805,1.020731,,,
2020-01-14,45.97037887573242,46.20844051789494,45.83082744297177,46.16739616305261,16345300,,,,-0.002316,1.018367,,,
2020-01-15,46.54500198364258,46.77485284012279,45.97037171095898,45.97037171095898,17735400,,,,0.0125,1.031096,,,
2020-01-16,46.64351272583008,46.75023054539312,46.47112456987053,46.66813871054336,10234100,,,,0.002116,1.033278,,,
2020-01-17,46.74202346801758,46.91441476900275,46.62709802168317,46.68456074485037,14264300,,,,0.002112,1.03546,,,
2020-01-21,46.93082046508789,46.9964939247758,46.43828204336026,46.6681328893021,11968900,,,,0.004039,1.039643,,,
2020-01-22,47.29201889038086,47.316644872366034,46.93903186833961,46.99649458062698,12869600,,,,0.007696,1.047644,,,
2020-01-23,47.472618103027344,47.48903333680872,46.98828728791933,47.10321271328682,12858900,,,,0.003819,1.051645,,,81.0
2020-01-24,47.3494873046875,47.50545709518103,47.1688883977599,47.48903872805276,8594300,,,,-0.002594,1.048917,,,83.75
2020-01-27,47.185298919677734,47.489030832342685,46.89798537141126,46.96365569752239,14359900,,,,-0.003468,1.045279,,,80.48
2020-01-28,46.79948043823242,47.40694746323293,46.76664683723271,47.16067823257771,15240200,,,,-0.008177,1.036732,,,79.61
2020-01-29,46.79948043823242,47.00470531902563,46.51216685771519,46.79127282085329,13163600,,,,0.0,1.036732,,,79.17
2020-01-30,48.318145751953125,48.41665281652605,47.41515441033801,47.55470895567586,20225600,46.2602,,,0.03245,1.070374,48.4259,44.0945,82.47
2020-01-31,47.94053649902344,48.49874846131561,47.735311604989064,48.40844900690314,17685200,46.4001,,,-0.007815,1.062009,48.6224,44.1778,75.22
2020-02-03,48.08829116821289,48.408441451904025,48.03903607399776,48.227842571264766,12333600,46.5598,,,0.003082,1.065282,48.7856,44.334,73.24
2020-02-04,48.30172348022461,48.802472642827624,48.12112460020835,48.22784240489822,15417900,46.7309,,,0.004438,1.07001,48.9388,44.523,76.3
2020-02-05,48.3099365234375,48.498746172744895,48.05545967099255,48.35098400549411,11414900,46.9197,,,0.00017,1.070192,48.9772,44.8622,72.82
2020-02-06,48.42487335205078,48.71218698657322,48.301737147836164,48.416662601645136,9347000,47.1102,,,0.002379,1.072738,48.9649,45.2555,72.94
2020-02-07,48.58903503417969,48.6957528344785,48.309929109040084,48.334558220790726,8757800,47.2682,,,0.00339,1.076374,49.057,45.4794,73.39
2020-02-10,49.04874038696289,49.12262146008541,48.671127404995694,48.695753385542275,7984900,47.4414,,,0.009461,1.086558,49.2146,45.6682,75.1
2020-02-11,48.91739273071289,49.089780843851585,48.6957495288992,49.02411052376745,7431200,47.5834,,,-0.002678,1.083648,49.3515,45.8153,70.37
2020-02-12,48.76963806152344,49.06516237584538,48.69575698294295,48.82710077469904,9179100,47.7234,,,-0.00302,1.080375,49.3943,46.0525,66.39
2020-02-13,48.93381881713867,49.122625322969554,48.605457770443124,48.74501231130779,8173200,47.8428,,,0.003366,1.084012,49.5005,46.1851,69.82
2020-02-14,49.21293258666992,49.31143966373685,48.942034210381465,48.950244960169094,9965500,47.9713,,,0.005704,1.090195,49.6359,46.3067,74.65
2020-02-18,48.86814498901367,49.19650603324865,48.80247465905647,49.097998972571354,10075700,48.0776,,,-0.007006,1.082557,49.6821,46.4731,75.4
2020-02-19,49.0651741027832,49.253980652841044,48.81890482581575,48.85173843298999,6265700,48.1843,,,0.004032,1.086922,49.7512,46.6174,76.54
2020-02-20,49.02411651611328,49.139041938920045,48.52336734689846,48.99127978631623,7597200,48.2709,,,-0.000837,1.086012,49.8215,46.7203,62.65
2020-02-21,49.36069107055664,49.36069107055664,48.78606075632353,48.851731092287814,10842400,48.3653,,,0.006865,1.093468,49.9409,46.7897,75.82
2020-02-24,48.14575958251953,49.089792180686956,48.08008611578619,48.5233726217865,14415500,48.4052,,,-0.024613,1.066554,49.9115,46.8989,50.75
2020-02-25,47.46440887451172,48.59725106216305,47.30022834809393,48.18680131186013,15915100,48.4191,,,-0.014152,1.05146,49.8823,46.9559,40.23
2020-02-26,47.283809661865234,47.99799447722017,47.18530259927537,47.59575234679671,15837800,48.4433,,,-0.003805,1.04746,49.8063,47.0803,38.49
2020-02-27,45.09201431274414,47.52187632514566,45.05096995991992,46.91441238778698,23754000,48.358,,,-0.046354,0.998906,50.2613,46.4547,24.5
2020-02-28,43.909915924072266,44.238273847360155,42.34199799393283,44.189021881182676,40890600,48.1375,,,-0.026215,0.972719,50.8912,45.3838,19.02
2020-03-02,45.904701232910156,45.93753796639462,44.08230636528785,44.27111288559865,25698600,48.0358,,,0.045429,1.016909,50.9651,45.1065,32.7
2020-03-03,46.01963424682617,47.193520964716846,45.67485477489092,46.59426148091232,27099200,47.9323,,,0.002504,1.019455,50.9968,44.8678,34.03
2020-03-04,48.367393493652344,48.4330669519532,46.306937277447126,46.306937277447126,20526100,47.9356,,,0.051016,1.071464,51.0019,44.8693,48.22
2020-03-05,46.57783126831055,47.751714477289404,46.12633411314649,47.44798258957386,17948500,47.849,,,-0.036999,1.031821,50.9681,44.7299,40.87
2020-03-06,45.36290740966797,45.89649336569754,44.31215699574503,45.10021980618723,22353900,47.6959,,,-0.026084,1.004907,50.9916,44.4002,36.08
2020-03-09,42.57184982299805,43.983798006595464,42.259907127009114,42.72781960525093,27898300,47.395,,,-0.061527,0.943078,51.375,43.415,30.66
2020-03-10,44.04945755004883,44.164382954239805,42.00541685778141,43.688262975236846,27457400,47.1451,,,0.034709,0.975811,51.3114,42.9788,35.72
2020-03-11,42.859161376953125,43.22035915464265,41.980799178180355,42.97408680386051,22653900,46.8422,,,-0.027022,0.949443,51.3341,42.3503,33.52
2020-03-12,38.713623046875,40.987515199302955,38.32779925237237,39.846465314223515,31913100,46.3394,,,-0.096725,0.857608,52.0175,40.6613,26.36
2020-03-13,40.13795471191406,41.040582639677865,38.597690251789906,40.99917516750195,33697200,45.8996,46.5704,,0.036791,0.88916,52.0726,39.7266,32.38
2020-03-16,37.47975158691406,39.64937279196409,34.092827252086956,34.978895904787535,28682300,45.3129,46.4171,,-0.066227,0.830274,52.3322,38.2936,29.79
2020-03-17,39.069698333740234,39.33468967462201,37.57083849523409,37.99317061653977,32106700,44.823,46.3006,,0.042421,0.865495,52.1582,37.4878,34.27
2020-03-18,37.14023971557617,37.388671948280006,34.440638305244306,37.049151477058096,35408300,44.2267,46.1459,,-0.049385,0.822752,52.0334,36.42,34.62
2020-03-19,34.63938522338867,36.98290392238268,33.98518620732586,36.73447483597638,41956900,43.5075,45.948,,-0.067335,0.767352,52.0675,34.9475,32.94
2020-03-20,31.716182708740234,34.838115494962494,31.061983913020878,34.73874452565897,51513500,42.6253,45.69,,-0.08439,0.702595,52.2198,33.0308,24.75
2020-03-23,31.1033878326416,32.20475744411412,30.035139767862734,32.0971037302588,44978500,41.7732,45.4035,,-0.019321,0.689021,52.2865,31.2599,23.92
2020-03-24,32.66849899291992,34.28329231936583,32.155078610405845,34.13423427945105,49096200,41.0334,45.1452,,0.05032,0.723692,51.9356,30.1312,21.78
2020-03-25,34.45718765258789,35.980889397565484,33.049419220986984,33.64565130000522,42511700,40.392,44.9128,,0.054753,0.763316,51.255,29.529,28.21
2020-03-26,36.676490783691406,37.48802709969657,35.152789107389985,35.475747082653236,37821700,39.9713,44.7269,,0.064408,0.81248,50.7191,29.2235,34.93
2020-03-27,35.450904846191406,36.461183065427754,35.11138452123697,36.154787445089774,23297900,39.5483,44.505,,-0.033416,0.78533,50.3092,28.7874,36.93
2020-03-30,37.26445388793945,37.72819045132136,35.641380654523125,35.641380654523125,23446000,39.1163,44.3174,,0.051157,0.825505,49.4895,28.7431,37.7
2020-03-31,36.64337158203125,37.6867746710409,36.48603394861718,37.32241233942325,25373900,38.6475,44.1154,,-0.016667,0.811747,48.5436,28.7514,38.5
2020-04-01,34.8795280456543,36.14652162923544,34.61453662558631,35.177644182967505,21936400,37.9731,43.8744,,-0.048135,0.772673,46.8679,29.0783,42.22
2020-04-02,36.39494705200195,36.59368901770975,34.664220235809175,34.96233634331746,17621900,37.4639,43.6565,,0.043447,0.806244,45.3988,29.529,42.43
2020-04-03,36.29557418823242,36.71790321268542,35.86496240625199,36.08854947529643,14207100,37.0106,43.4329,,-0.00273,0.804043,44.0284,29.9928,47.33
2020-04-06,38.647377014160156,38.92893078740799,37.007741449580465,37.58741135437858,22850000,36.8144,43.2589,,0.064796,0.856141,43.3825,30.2463,49.08
2020-04-07,38.5148811340332,40.24560808204442,38.49003917616432,40.16279944985026,21279600,36.5376,43.0855,,-0.003428,0.853206,42.2302,30.845,53.25
2020-04-08,39.59967803955078,39.82326505891937,38.36581279359851,38.622521358878735,18937100,36.3747,42.9415,,0.028166,0.877238,41.4595,31.2899,62.58
2020-04-09,40.57685089111328,41.18136278041745,40.0385852789789,40.113114315136784,19165300,36.4678,42.817,,0.024676,0.898885,41.7955,31.1401,74.93
